tempmax,tempmin,temp,feelslike,dew,humidity,precip,precipprob,precipcover,windgust,windspeed,sealevelpressure,cloudcover,visibility,moonphase,Date
21.8,11.1,16.2,30.4,8.5,63,0.1,0,0,36.7,24.8,1016.2,34.4,20.8,0.57,2023-05-07
21.5,11.7,16.1,28.9,9.1,65.4,0.2,4.8,2,38.5,28.4,1016.1,34.5,20.6,0.61,2023-05-08
20.8,11.2,15.3,26.6,8.9,67.3,0.3,0,0,40.7,29.2,1016.2,35.9,20.3,0.65,2023-05-09
20.8,10.6,15.4,27.9,8.6,65.7,0.2,0,0,42.5,28.1,1016.5,30,20.4,0.68,2023-05-10
21.7,11,15.7,26.9,8.8,65.7,0,0,0,38.2,28.1,1016.8,27.6,20.5,0.72,2023-05-11
21.8,10.8,15.8,28.6,8.4,63.7,0,0,0,40.3,31.7,1017.1,32.1,20.8,0.75,2023-05-12
21.8,10.8,15.7,29.7,8.4,64.2,0,0,0,37.4,28.1,1016.9,30.3,19.9,0.79,2023-05-13
21.6,11.3,16.2,30.2,9.1,64.9,0.8,4.8,2,35.6,27.4,1016.1,42.5,20.8,0.83,2023-05-14
21.5,12.2,16.4,31.7,9.6,66.4,0.8,4.8,2,42.5,27.4,1015.5,47.6,20.8,0.86,2023-05-15
21.4,11.8,16.1,31.8,9.4,66.5,0.2,0,0,39.2,35.3,1015.9,44.1,20.8,0.9,2023-05-16
21.6,12.1,16.3,30.2,9.3,65.4,0.1,4.8,2,40.3,27,1015.8,36.5,19.4,0.93,2023-05-17
